Process,Time,Output
Fahrzeiten_2017_Checking_Dates,221.13,Different Dates in Rows: 1840187; False Dates: 0
Fahrzeiten_2018_Checking_Dates,229.81,Different Dates in Rows: 1958969; False Dates: 0
Fahrzeiten_2019_Checking_Dates,229.82,Different Dates in Rows: 1951904; False Dates: 0
Fahrzeiten_2020_Checking_Dates,221.17,Different Dates in Rows: 1872458; False Dates: 0
Fahrzeiten_2021_Checking_Dates,225.83,Different Dates in Rows: 1881634; False Dates: 0
Fahrzeiten_2022_Checking_Dates,219.41,Different Dates in Rows: 1875722; False Dates: 0
END OF CSV CREATION,,
START OF CSV CLEANING,,
Haltestellen_Checking_Consistent_Ids,0.86,Inconsistent Ids: 75; Columns: halt_kurz: 53; halt_lang: 22
Haltepunkte_Checking_Consistent_Ids,2.08,Inconsistent Ids: 0
Haltestellen_Checking_Ids_In_Last_Year,0.33,True
Haltepunkte_Checking_Ids_In_Last_Year,0.44,True
Haltestellen_Csv_Merging,0.0,True
Haltepunkte_Csv_Merging,0.35,True
Haltepunkte_Checking_Reactivated,2.06,Reactivated: 0
Haltepunkte_Checking_Same_Location,0.33,Same Location: 80425; Also Same Bearing: 73249
Fahrzeiten_Checking_Foreign_Keys,3903.84,Foreign Keys not Existing: 4865
Haltepunkte_Checking_Foreign_Keys,0.3,Foreign Keys not Existing: 0
Fahrzeiten_Putting_In_Correct_Years,2127.88,Rows in Wrong Year: 2230962
Haltepunkte_Adding_Bearing,1.04,Added Bearing: 19429
Haltestellen_Adding_Coordinates,31.77,Empty Cells: 134
Haltepunkte_Adding_Coordinates,12.24,Empty Cells: 0
Passagierfrequenz_Filling_Values,0.17,Empty Cells: 1932
VISUALIZATIONS,,
Visualizing_Fahrzeiten_Too_Little_Rows,1068.83,/data/figures/cleaning
Visualizing_Fahrzeiten_Putting_In_Correct_Years,100.0,/data/figures/cleaning
Visualizing_Haltestellen_Empty_Cells,0.37,/data/figures/cleaning
Visualizing_Haltepunkte_Empty_Cells,0.66,/data/figures/cleaning
Visualizing_Passagierfrequenz_Empty_Cells,1.1,/data/figures/cleaning
TESTS,,
Fahrzeiten_Checking_Foreign_Keys_Test,443.56,Foreign Keys not Existing: 449
Fahrzeiten_Putting_In_Correct_Years_Test_1,208.08,Rows in Wrong Year: 114735
Fahrzeiten_Putting_In_Correct_Years_Test_2,112.63,Rows in Wrong Year: 0
Fahrzeiten_Finding_Too_Little_Rows_Test,162.52,/data/figures/cleaning
